t1	e11	e21	t2	e12	e22
10	0.001006766	0.001002083	1.93	0.000821917	0.00081942
10	0.001006766	0.001002083	1.94	0.000826311	0.000823784
10	0.001006766	0.001002083	1.95	0.00083068	0.000828122
10	0.001006766	0.001002083	1.96	0.000835022	0.000832434
10	0.001006766	0.001002083	1.97	0.000839337	0.00083672
10	0.001006766	0.001002083	1.98	0.000843626	0.00084098
10	0.001006766	0.001002083	1.99	0.000847888	0.000845212
10	0.001006766	0.001002083	2	0.000852124	0.000849419
10	0.001006766	0.001002083	2.01	0.000856332	0.000853598
10	0.001006766	0.001002083	2.02	0.000860512	0.00085775
10	0.001006766	0.001002083	2.03	0.000864666	0.000861875
10	0.001006766	0.001002083	2.04	0.000868791	0.000865973
10	0.001006766	0.001002083	2.05	0.000872889	0.000870044
10	0.001006766	0.001002083	2.06	0.000876959	0.000874086
10	0.001006766	0.001002083	2.07	0.000881001	0.000878102
10	0.001006766	0.001002083	2.08	0.000885015	0.000882089
10	0.001006766	0.001002083	2.09	0.000889001	0.000886048
10	0.001006766	0.001002083	2.1	0.000892959	0.000889979
10	0.001006766	0.001002083	2.11	0.000896888	0.000893883
10	0.001006766	0.001002083	2.12	0.000900788	0.000897757
10	0.001006766	0.001002083	2.13	0.000904659	0.000901604
10	0.001006766	0.001002083	2.14	0.000908502	0.000905422
10	0.001006766	0.001002083	2.15	0.000912316	0.000909211
10	0.001006766	0.001002083	2.16	0.000916101	0.000912972
10	0.001006766	0.001002083	2.17	0.000919857	0.000916704
10	0.001006766	0.001002083	2.18	0.000923584	0.000920407
10	0.001006766	0.001002083	2.19	0.000927281	0.000924081
10	0.001006766	0.001002083	2.2	0.000930949	0.000927727
10	0.001006766	0.001002083	2.21	0.000934588	0.000931343
10	0.001006766	0.001002083	2.22	0.000938197	0.00093493
10	0.001006766	0.001002083	2.23	0.000941777	0.000938487
10	0.001006766	0.001002083	2.24	0.000945327	0.000942016
10	0.001006766	0.001002083	2.25	0.000948848	0.000945515
10	0.001006766	0.001002083	2.26	0.000952338	0.000948985
10	0.001006766	0.001002083	2.27	0.000955799	0.000952425
10	0.001006766	0.001002083	2.28	0.00095923	0.000955836
10	0.001006766	0.001002083	2.29	0.000962631	0.000959217
10	0.001006766	0.001002083	2.3	0.000966002	0.000962569
10	0.001006766	0.001002083	2.31	0.000969344	0.000965891
10	0.001006766	0.001002083	2.32	0.000972655	0.000969183
10	0.001006766	0.001002083	2.33	0.000975936	0.000972446
10	0.001006766	0.001002083	2.34	0.000979187	0.000975679
10	0.001006766	0.001002083	2.35	0.000982408	0.000978882
10	0.001006766	0.001002083	2.36	0.000985599	0.000982056
10	0.001006766	0.001002083	2.37	0.00098876	0.000985199
10	0.001006766	0.001002083	2.38	0.00099189	0.000988313
10	0.001006766	0.001002083	2.39	0.000994991	0.000991397
10	0.001006766	0.001002083	2.4	0.000998061	0.000994451
10	0.001006766	0.001002083	2.41	0.001001101	0.000997476
10	0.001006766	0.001002083	2.42	0.00100411	0.00100047
10	0.001006766	0.001002083	2.43	0.00100709	0.001003435
10	0.001006766	0.001002083	2.44	0.001010039	0.00100637
10	0.001006766	0.001002083	2.45	0.001012958	0.001009275
10	0.001006766	0.001002083	2.46	0.001015847	0.00101215
10	0.001006766	0.001002083	2.47	0.001018706	0.001014995
10	0.001006766	0.001002083	2.48	0.001021535	0.001017811
10	0.001006766	0.001002083	2.49	0.001024333	0.001020597
10	0.001006766	0.001002083	2.5	0.001027101	0.001023353
10	0.001006766	0.001002083	2.51	0.00102984	0.001026079
10	0.001006766	0.001002083	2.52	0.001032548	0.001028775
10	0.001006766	0.001002083	2.53	0.001035226	0.001031442
10	0.001006766	0.001002083	2.54	0.001037874	0.00103408
10	0.001006766	0.001002083	2.55	0.001040492	0.001036687
10	0.001006766	0.001002083	2.56	0.00104308	0.001039265
10	0.001006766	0.001002083	2.57	0.001045638	0.001041813
10	0.001006766	0.001002083	2.58	0.001048166	0.001044332
10	0.001006766	0.001002083	2.59	0.001050664	0.001046822
10	0.001006766	0.001002083	2.6	0.001053133	0.001049282
10	0.001006766	0.001002083	2.61	0.001055572	0.001051712
